Original Address,Best Match,Score
" los sanchez de santa ana c\\esteva, Region de Murcia, Espana",Circunvalacion de Murcia,86
"avenida javier, Region de Murcia, Espana",Circunvalacion de Murcia,86
"avenida espanola, Region de Murcia, Espana",Avenida E,90
"calle fresa, Region de Murcia, Espana",Calle Fresa,90
"calle verdemar c, Region de Murcia, Espana",Calle V,90
"calle cibeles, Region de Murcia, Espana",Calle Cibeles,90
"calle ed. vaporettogran via ndb, Region de Murcia, Espana",Gran Via,90
"calle esq. dos de mayojose maria grajera, Region de Murcia, Espana",Jose Maria,90
"calle riostras, Region de Murcia, Espana",Calle Rios,90
" duplexaldeas de taray, Region de Murcia, Espana",Circunvalacion de Murcia,86
"calle lo santiagovinos nuevos, Region de Murcia, Espana",Circunvalacion de Murcia,86
" verdemar, Region de Murcia, Espana",Ronda de Levante,86
" casco urbanoaldeas de taray, Region de Murcia, Espana",Circunvalacion de Murcia,86
" punta cormoran bloque  portal  plnta  p portal, Region de Murcia, Espana",Circunvalacion de Murcia,86
"calle reyes, Region de Murcia, Espana",Calle,90
" perno, Region de Murcia, Espana",Ronda de Levante,86
" aldeas de taray apt, Region de Murcia, Espana",Circunvalacion de Murcia,86
" puntaletes, Region de Murcia, Espana",Circunvalacion de Murcia,86
"calle la maza, Region de Murcia, Espana",Calle,90
" urbanizacijulieta orbaicetaverdemar, Region de Murcia, Espana",Circunvalacion de Murcia,86
"calle olimpo, Region de Murcia, Espana",Calle,90
"avenida ribaltamar menor, Region de Murcia, Espana",Circunvalacion de Murcia,86
"calle camino romano, Region de Murcia, Espana",Camino Romano,90
"calle marques de rozalejo b, Region de Murcia, Espana",Calle Marques,90
"calle athenea, Region de Murcia, Espana",Calle A,90
"calle rio muni, Region de Murcia, Espana",Calle,90
"calle badajoz, Region de Murcia, Espana",Calle B,90
" casercaserio los nietos de miranda, Region de Murcia, Espana",Circunvalacion de Murcia,86
" cercedilla nnd  bajo bajo, Region de Murcia, Espana",Circunvalacion de Murcia,86
"calle relampago bajo, Region de Murcia, Espana",Calle Relampago,90
"calle nuestra senora de la cerra, Region de Murcia, Espana",Calle Nuestra Senora,90
" plaza del centenario n, Region de Murcia, Espana",Plaza de,90
"avenida penelope, Region de Murcia, Espana",Circunvalacion de Murcia,86
"calle sols/n, Region de Murcia, Espana",Calle Sol,90
"calle albatros  borromini, Region de Murcia, Espana",Calle Alba,90
"calle aguila, Region de Murcia, Espana",Calle A,90
"calle tucan, Region de Murcia, Espana",Calle,90
"calle dos de mayo bajo, Region de Murcia, Espana",Calle Dos de Mayo,90
"calle sierra leona, Region de Murcia, Espana",Calle Sierra,90
"calle san pedro, Region de Murcia, Espana",Calle San Pedro,90
"calle san pedro pescador, Region de Murcia, Espana",Calle San Pedro,90
" apartamentoen el patio andaluzclub aldeas de taray nd, Region de Murcia, Espana",Circunvalacion de Murcia,86
"calle colirojo, Region de Murcia, Espana",Calle,90
"calle mayor, Region de Murcia, Espana",Calle Mayor,90
"calle zeus, Region de Murcia, Espana",Calle,90
" plaza puerto principe, Region de Murcia, Espana",Circunvalacion de Murcia,86
"calle garcia gongora, Region de Murcia, Espana",Calle Garcia,90
"calle salerillo  nd derecha, Region de Murcia, Espana",Calle Sal,90
"calle azor, Region de Murcia, Espana",Calle A,90
"calle perigallo, Region de Murcia, Espana",Calle Perigallo,90
"calle fernando de magallanes, Region de Murcia, Espana",Calle F,90
"calle ignacio gongora, Region de Murcia, Espana",Calle I,90
"calle santa florentina, Region de Murcia, Espana",Calle Santa,90
" los camachoscalle nieve, Region de Murcia, Espana",Calle Nieve,90
"calle san jose, Region de Murcia, Espana",Calle San Jose,90
"calle local comercial hacienda dos marebajo, Region de Murcia, Espana",Circunvalacion de Murcia,86
"calle ed.catamarangran viasur ndn, Region de Murcia, Espana",Gran Via,90
"avenida san jeronimo, Region de Murcia, Espana",Circunvalacion de Murcia,86
"calle belalcazar, Region de Murcia, Espana",Calle B,90
"calle antonio serrano, Region de Murcia, Espana",Calle A,90
"avenida dos maresgran via del nordeste-- plaza bohemiaapto e, Region de Murcia, Espana",Plaza Bohemia,90
"avenida via m-, Region de Murcia, Espana",Circunvalacion de Murcia,86
"calle ceeicberlin, Region de Murcia, Espana",Calle C,90
"avenida t, Region de Murcia, Espana",Avenida Region de Murcia,95
" urbanizacitorre surcastillo de mar, Region de Murcia, Espana",Circunvalacion de Murcia,86
"avenida de taray club apartamento  gran via de la manga, Region de Murcia, Espana",Circunvalacion de Murcia,86
" urbanizaciapt. bajo fneptuno, Region de Murcia, Espana",Circunvalacion de Murcia,86
"calle bono, Region de Murcia, Espana",Calle B,90
" aldeas de taray club, Region de Murcia, Espana",Circunvalacion de Murcia,86
" urbanizacikm  manga azul ndizq, Region de Murcia, Espana",Circunvalacion de Murcia,86
"calle calasparra, Region de Murcia, Espana",Calle Calasparra,90
"calle alcantara, Region de Murcia, Espana",Calle A,90
"calle vicente medina, Region de Murcia, Espana",Calle Vicente Medina,90
"calle en ugrperigallo, Region de Murcia, Espana",Calle E,90
"calle almanzora, Region de Murcia, Espana",Calle Almanzor,90
"avenida gran via km  -las gondolas-edf, Region de Murcia, Espana",Gran Via,90
"calle camino del monasterio, Region de Murcia, Espana",Calle C,90
"calle zorita, Region de Murcia, Espana",Calle,90
" urbanizacihawaii  a, Region de Murcia, Espana",Circunvalacion de Murcia,86
" villa cristal diosa tanit, Region de Murcia, Espana",Circunvalacion de Murcia,86
"calle bungalows paseo maritimopaseo maritimo, Region de Murcia, Espana",Paseo Maritimo,90
"avenida playa blancagran via de la manga, Region de Murcia, Espana",Circunvalacion de Murcia,86
"calle alava, Region de Murcia, Espana",Calle A,90
"calle futbol b, Region de Murcia, Espana",Calle,90
"calle km, Region de Murcia, Espana",Calle,90
" hawai, Region de Murcia, Espana",Ronda de Levante,86
" villa blanca del pedruchocalle isla del baron, Region de Murcia, Espana",Calle Isla,90
" urbanizacion las sirenas bqlq  apart, Region de Murcia, Espana",Circunvalacion de Murcia,86
"calle archipielago, Region de Murcia, Espana",Calle A,90
" almaraz, Region de Murcia, Espana",Ronda de Levante,86
"calle verano, Region de Murcia, Espana",Calle,90
" arco, Region de Murcia, Espana",Ronda de Levante,86
"avenida ballester, Region de Murcia, Espana",Circunvalacion de Murcia,86
" urbanizacimanga sur, Region de Murcia, Espana",Circunvalacion de Murcia,86
"calle magon b, Region de Murcia, Espana",Calle,90
" parajelas lomas del albujon, Region de Murcia, Espana",Circunvalacion de Murcia,86
" urbanizacibellavista, Region de Murcia, Espana",Bellavista,90
"calle mondragon, Region de Murcia, Espana",Calle Mondragon,90
"calle archipielago nd drcha, Region de Murcia, Espana",Calle A,90
"calle mayor bajo, Region de Murcia, Espana",Calle Mayor,90
"calle loma cristales, Region de Murcia, Espana",Calle Loma,90
"calle saura toboso, Region de Murcia, Espana",Calle Sau,90
"calle cuatro amigos, Region de Murcia, Espana",Calle C,90
" es en el pantalan principal - barco kuketesclub nautico la isleta - amarre, Region de Murcia, Espana",Circunvalacion de Murcia,86
" puerto del barquero, Region de Murcia, Espana",Circunvalacion de Murcia,86
"calle la mandolina bajo, Region de Murcia, Espana",Circunvalacion de Murcia,86
"calle lluvia, Region de Murcia, Espana",Calle,90
" edf borinquen, Region de Murcia, Espana",Circunvalacion de Murcia,86
"calle brozas, Region de Murcia, Espana",Calle B,90
"calle calamonte, Region de Murcia, Espana",Calle C,90
"calle don rodrigo, Region de Murcia, Espana",Calle D,90
"calle ricote, Region de Murcia, Espana",Calle,90
" urbanizaciresidencial las salinas, Region de Murcia, Espana",Residencial Las Salinas,90
" pasajelos migaznaressn, Region de Murcia, Espana",pasaje,90
"calle lucena, Region de Murcia, Espana",Calle,90
"calle roger de flor, Region de Murcia, Espana",Circunvalacion de Murcia,86
"calle modragon, Region de Murcia, Espana",Calle,90
"calle bda. de santiagogarcilaso de la vega, Region de Murcia, Espana",Circunvalacion de Murcia,86
"calle - loma farias, Region de Murcia, Espana",Circunvalacion de Murcia,86
"calle vara del rey, Region de Murcia, Espana",Calle Vara del Rey,90
"avenida calle olimpo, Region de Murcia, Espana",Calle Olimpo,90
"avenida calle irene, Region de Murcia, Espana",Calle I,90
"avenida calle timon b, Region de Murcia, Espana",Calle T,90
"calle francisco alonso, Region de Murcia, Espana",Calle F,90
"calle loma atlas, Region de Murcia, Espana",Calle Loma,90
"calle monte penas blancas, Region de Murcia, Espana",Calle Monte,90
"calle mirto, Region de Murcia, Espana",Calle,90
" ed, Region de Murcia, Espana",Ronda de Levante,86
"calle sanchez de la campana, Region de Murcia, Espana",Calle S,90
"calle general moscardo, Region de Murcia, Espana",Calle General Moscardo,90
"calle tejeras/venta valerofinca los curros, Region de Murcia, Espana",Calle Tejeras,90
" carretera de mazarron  ndderecha, Region de Murcia, Espana",Circunvalacion de Murcia,86
"avenida avenidamarfagones drcha, Region de Murcia, Espana",Circunvalacion de Murcia,86
"avenida honda, Region de Murcia, Espana",Circunvalacion de Murcia,86
" primavera, Region de Murcia, Espana",Ronda de Levante,86
"calle sierra de la iguana, Region de Murcia, Espana",Calle Sierra,90
"calle aguilas, Region de Murcia, Espana",Calle Aguilas,90
"calle tomas franco, Region de Murcia, Espana",Calle Tomas,90
"calle del refino, Region de Murcia, Espana",Calle D,90
"calle garcilaso de la vega, Region de Murcia, Espana",Calle Garcilaso de la Vega,90
" urbanizacion finca lomas de pozo estrecho, Region de Murcia, Espana",Circunvalacion de Murcia,86
"calle sonora, Region de Murcia, Espana",Calle,90
"calle el molino, Region de Murcia, Espana",Calle E,90
"calle tijuana.   bajo, Region de Murcia, Espana",Calle T,90
"calle mares  bajo de la campana ndb, Region de Murcia, Espana",Circunvalacion de Murcia,86
"calle justo encima de la pizzeriaaldeas de tarayapt, Region de Murcia, Espana",Circunvalacion de Murcia,86
"calle francisco rioja, Region de Murcia, Espana",Calle F,90
"calle fabriciano martin, Region de Murcia, Espana",Calle F,90
"avenida puerto escondidogran via de la manga b, Region de Murcia, Espana",Circunvalacion de Murcia,86
"calle fernando magallanes, Region de Murcia, Espana",Calle F,90
"calle anacarda, Region de Murcia, Espana",Calle A,90
"calle colimbo, Region de Murcia, Espana",Calle,90
"calle de los angeles, Region de Murcia, Espana",Calle de los Angeles,90
" pintor francisco bayeu, Region de Murcia, Espana",Circunvalacion de Murcia,86
"calle sierra del faro, Region de Murcia, Espana",Calle Sierra,90
"calle maria de zayas, Region de Murcia, Espana",Calle Maria,90
"calle urbanizacion buenos airesavenida santa fe nd, Region de Murcia, Espana",Urbanizacion Buenos Aires,90
"calle united golf resortcollado de los jeronimos a, Region de Murcia, Espana",Circunvalacion de Murcia,86
" pintor inocencio medina vera, Region de Murcia, Espana",Circunvalacion de Murcia,86
"calle urbanizacion canales veneciola local a  gran via la manga, Region de Murcia, Espana",Circunvalacion de Murcia,86
"calle felix rodriguez de la fuente, Region de Murcia, Espana",Calle Felix Rodriguez de la Fuente,90
"calle lope de vega, Region de Murcia, Espana",Calle Lope de Vega,90
"avenida manuel claver valderas, Region de Murcia, Espana",Circunvalacion de Murcia,86
"calle de la masa, Region de Murcia, Espana",Calle D,90
"calle alegria, Region de Murcia, Espana",Calle Alegria,90
"calle alameda de san anton nda, Region de Murcia, Espana",Calle A,90
"calle la patrona, Region de Murcia, Espana",Circunvalacion de Murcia,86
"avenida veneziola golf   gran via de la manga km  b, Region de Murcia, Espana",Circunvalacion de Murcia,86
"avenida de los carros, Region de Murcia, Espana",Avenida D,90
" plaza de la iglesia, Region de Murcia, Espana",Plaza de la Iglesia,90
" las gondolas ed florencia  nd b, Region de Murcia, Espana",Florencia,90
"calle san gines, Region de Murcia, Espana",Calle San Gines,90
"calle alfonso x el sabio, Region de Murcia, Espana",Calle Alfonso X El Sabio,90
"calle francisco quevedo, Region de Murcia, Espana",Quevedo,90
" apto m-  ronda golf menta    nd, Region de Murcia, Espana",Circunvalacion de Murcia,86
"calle progreso, Region de Murcia, Espana",Calle Progreso,90
"calle saavedra fajardo, Region de Murcia, Espana",Calle Saavedra Fajardo,90
"calle hernandez amoros, Region de Murcia, Espana",Calle H,90
"calle esparraguerallugar la ermita nda, Region de Murcia, Espana",Calle Esparraguera,90
"calle los conesaspasaje las casicas, Region de Murcia, Espana",Circunvalacion de Murcia,86
" los espines nnd, Region de Murcia, Espana",Circunvalacion de Murcia,86
"calle barriada santiagogarcilaso de la vega, Region de Murcia, Espana",Circunvalacion de Murcia,86
" bloque, Region de Murcia, Espana",Ronda de Levante,86
"calle pintor goya, Region de Murcia, Espana",Calle Pinto,90
"calle gravina, Region de Murcia, Espana",Calle,90
"calle monaco, Region de Murcia, Espana",Calle,90
"calle quintana aa, Region de Murcia, Espana",Calle Quintana,90
"avenida calle corbeta, Region de Murcia, Espana",Calle Corbeta,90
"calle urbanizacion corvera golfcondomina, Region de Murcia, Espana",Circunvalacion de Murcia,86
" cp puertomar, Region de Murcia, Espana",Circunvalacion de Murcia,86
"calle bravo, Region de Murcia, Espana",Calle B,90
"calle avoceto, Region de Murcia, Espana",Calle A,90
"calle baluarte, Region de Murcia, Espana",Calle B,90
" finca azoe, Region de Murcia, Espana",Circunvalacion de Murcia,86
"calle juan de garay, Region de Murcia, Espana",Calle Juan de Garay,90
"calle los perez las lomas del albujon, Region de Murcia, Espana",Calle Los Perez,90
"calle urbanizacion los flamencos c, Region de Murcia, Espana",Circunvalacion de Murcia,86
"calle la luzsn, Region de Murcia, Espana",Calle La Luz,90
" carreterade la union  ., Region de Murcia, Espana",De La Union,90
"avenida marfagones, Region de Murcia, Espana",Circunvalacion de Murcia,86
"calle los sanchez, Region de Murcia, Espana",Circunvalacion de Murcia,86
"calle mayor b, Region de Murcia, Espana",Calle Mayor,90
"calle aldeas de tarayapto, Region de Murcia, Espana",Calle A,90
"avenida calle cibeles, Region de Murcia, Espana",Calle Cibeles,90
"calle san nicolas nda, Region de Murcia, Espana",Calle San Nicolas,90
" pintor bianqui, Region de Murcia, Espana",Circunvalacion de Murcia,86
"calle ugrcollado jeronimos a, Region de Murcia, Espana",Circunvalacion de Murcia,86
" camino a los dolores, Region de Murcia, Espana",camino,90
"calle united golf resortalcacil, Region de Murcia, Espana",Circunvalacion de Murcia,86
"calle emilio ballester   bj, Region de Murcia, Espana",Calle E,90
" camino brujula, Region de Murcia, Espana",camino,90
"avenida d, Region de Murcia, Espana",Avenida Region de Murcia,95
"calle residencial el molinoacrobatasbajo  b, Region de Murcia, Espana",Calle Residencia,90
"calle corvera golf m, Region de Murcia, Espana",Calle Corvera,90
"calle nerea, Region de Murcia, Espana",Calle,90
"calle oropendola, Region de Murcia, Espana",Calle Oro,90
"calle villamartin, Region de Murcia, Espana",Calle Villa,90
"calle merida i, Region de Murcia, Espana",Calle,90
" urbanizaciverdemar iiih, Region de Murcia, Espana",Circunvalacion de Murcia,86
" piso  km, Region de Murcia, Espana",Ronda de Levante,86
" urbanizacicaprilas gondolas d, Region de Murcia, Espana",Circunvalacion de Murcia,86
"calle urbanizacion puerto bello jb, Region de Murcia, Espana",Circunvalacion de Murcia,86
"calle loma atla, Region de Murcia, Espana",Calle Loma,90
" torremares  b, Region de Murcia, Espana",Circunvalacion de Murcia,86
"calle rodrigo caro, Region de Murcia, Espana",Calle Rodrigo,90
" progreso b, Region de Murcia, Espana",Progreso,90
"calle irene, Region de Murcia, Espana",Calle,90
" urbanizacion las brisas    a, Region de Murcia, Espana",Las Brisas,90
" duplex costa manga, Region de Murcia, Espana",Circunvalacion de Murcia,86
"calle de tabasco, Region de Murcia, Espana",Calle D,90
" urbanizaciplaya principe ndn, Region de Murcia, Espana",Circunvalacion de Murcia,86
" urbanizacibellavistatorre ndc, Region de Murcia, Espana",Bellavista,90
" urbanizacicastillo de mar   fase  nda, Region de Murcia, Espana",Circunvalacion de Murcia,86
" porton   bdomingo espinasa, Region de Murcia, Espana",Circunvalacion de Murcia,86
"avenida de taraygran via de la manga, Region de Murcia, Espana",Gran Via,90
" urbanizacipedruchillo, Region de Murcia, Espana",Circunvalacion de Murcia,86
"avenida dos mares nortegran via de la manga bajo c, Region de Murcia, Espana",Circunvalacion de Murcia,86
"calle alcacil a, Region de Murcia, Espana",Calle Alcacil,90
"avenida golf resortsde la sierra de los villares, Region de Murcia, Espana",Circunvalacion de Murcia,86
"calle miguel angel e, Region de Murcia, Espana",Calle Miguel Angel,90
" urbanizacilas gondolas, Region de Murcia, Espana",Circunvalacion de Murcia,86
" paloma, Region de Murcia, Espana",Ronda de Levante,86
"calle gabriela mistral d, Region de Murcia, Espana",Gabriela Mistral,90
"calle jade, Region de Murcia, Espana",Calle,90
"avenida calle avenida de santiago, Region de Murcia, Espana",Avenida de Santiago,90
" residencial atalayas a, Region de Murcia, Espana",Atalaya,90
" urbanizacibahia  ndc, Region de Murcia, Espana",Circunvalacion de Murcia,86
"calle united golf resortsalcacil, Region de Murcia, Espana",Circunvalacion de Murcia,86
" progreso, Region de Murcia, Espana",Progreso,90
"calle united golf resortvillage, Region de Murcia, Espana",Circunvalacion de Murcia,86
"calle manzana  almazara, Region de Murcia, Espana",Calle Manzana,90
"avenida calle saturno, Region de Murcia, Espana",Calle Saturno,90
"calle falcon   bajo b, Region de Murcia, Espana",Calle F,90
"calle alfonso xiii, Region de Murcia, Espana",Calle Alfonso XIII,90
"calle optimis, Region de Murcia, Espana",Calle,90
"avenida calle helena, Region de Murcia, Espana",Calle H,90
"calle bosco, Region de Murcia, Espana",Calle B,90
"calle molino de santa rosalina, Region de Murcia, Espana",Calle Molino,90
"calle travesia mio cid bajog, Region de Murcia, Espana",Calle Travesia,90
"calle los medicos s/n, Region de Murcia, Espana",Circunvalacion de Murcia,86
" pedrarias de avila, Region de Murcia, Espana",Circunvalacion de Murcia,86
"calle los grillos, Region de Murcia, Espana",Circunvalacion de Murcia,86
" cp isla grosa bloque, Region de Murcia, Espana",Circunvalacion de Murcia,86
"calle mirlo, Region de Murcia, Espana",Calle,90
"calle tilo, Region de Murcia, Espana",Calle,90
" parajelas lomas, Region de Murcia, Espana",Circunvalacion de Murcia,86
"calle atomo, Region de Murcia, Espana",Calle A,90
" pol.ind. la palma, Region de Murcia, Espana",La Palma,90
" san anastasio, Region de Murcia, Espana",Circunvalacion de Murcia,86
"calle jose manuel claver b, Region de Murcia, Espana",Calle J,90
"calle la siesta, Region de Murcia, Espana",Circunvalacion de Murcia,86
"calle del roble, Region de Murcia, Espana",Calle del Roble,90
" plazacapellania, Region de Murcia, Espana",Circunvalacion de Murcia,86
"calle moscareta, Region de Murcia, Espana",Calle Mos,90
" urbanizaciesmeralda  a, Region de Murcia, Espana",Circunvalacion de Murcia,86
"calle los garridos, Region de Murcia, Espana",Circunvalacion de Murcia,86
"calle bernardo valbuena, Region de Murcia, Espana",Calle B,90
"calle segador, Region de Murcia, Espana",Calle,90
" plaza jose maestre, Region de Murcia, Espana",Circunvalacion de Murcia,86
" carretera el albujon, Region de Murcia, Espana",Circunvalacion de Murcia,86
"calle gustavo adolfo becquer, Region de Murcia, Espana",Calle Gustavo Adolfo Becquer,90
"calle la iglesia, Region de Murcia, Espana",Calle La Iglesia,90
"calle mojacar, Region de Murcia, Espana",Calle,90
"calle emilio ballester, Region de Murcia, Espana",Calle E,90
"calle carr.nacional  -km  -mirand, Region de Murcia, Espana",Circunvalacion de Murcia,86
"calle actimios/n, Unnamed: 0                 377
type_of_street           calle
addresses           actimios/n
neighborhood      los camachos
province              alicante
street_name         actimios/n
house_number               NaN
floor_number               NaN
Name: 376, dtype: object, Espana",Calle del Escultor Jose Sanchez Lozano,86
"calle puerto del   barquero, Region de Murcia, Espana",Calle Puerto,90
"calle alondra, Region de Murcia, Espana",Calle A,90
" loma poblada (canteras)., Region de Murcia, Espana",Circunvalacion de Murcia,86
" pol.ind.camachosfosforoparc, Region de Murcia, Espana",Circunvalacion de Murcia,86
"calle finca el leon, Region de Murcia, Espana",Calle F,90
"calle urbanizacion castillo de mar ii, Region de Murcia, Espana",Circunvalacion de Murcia,86
"calle manganeso, Region de Murcia, Espana",Calle Manganeso,90
"calle repuente, Region de Murcia, Espana",Calle,90
"calle rio de la plata, Region de Murcia, Espana",Calle Rio,90
"calle hawai  calle gran via de la manga, Region de Murcia, Espana",Calle Gran Via,90
"calle gallo nnd, Region de Murcia, Espana",Calle G,90
"calle cumulos, Region de Murcia, Espana",Calle,90
"calle cordelaje, Region de Murcia, Espana",Calle C,90
"calle la linterna, Region de Murcia, Espana",Circunvalacion de Murcia,86
"calle puerto natal, Region de Murcia, Espana",Calle Puerto,90
"calle dos de mayo nnd, Region de Murcia, Espana",Calle Dos de Mayo,90
"calle ignacio aznar nnd, Region de Murcia, Espana",Calle I,90
" carretera. fuente alamo nnd   bajo, Region de Murcia, Espana",Circunvalacion de Murcia,86
"calle poniente nnd, Region de Murcia, Espana",Calle Poniente,90
"calle actor jose baeza   nnd, Region de Murcia, Espana",Calle A,90
"calle rio manzanares, Region de Murcia, Espana",Calle Rio Manzanares,90
"calle torno nnd, Region de Murcia, Espana",Calle T,90
"calle san berbardo, Region de Murcia, Espana",Calle S,90
"calle acrobatas, Region de Murcia, Espana",Calle A,90
"calle dos de mayo, Region de Murcia, Espana",Calle Dos de Mayo,90
"calle san bernardo, Region de Murcia, Espana",Calle San Bernardo,90
"calle bartolome ferro, Region de Murcia, Espana",Calle B,90
"calle melocotonero, Region de Murcia, Espana",Calle Melocoton,90
"calle horno-   amigos, Region de Murcia, Espana",Calle Horno,90
"calle merida nnd, Region de Murcia, Espana",Calle Merida,90
"calle urbanizacion puerto y play, Region de Murcia, Espana",Circunvalacion de Murcia,86
"calle puerto lumbreras, Region de Murcia, Espana",Calle Puerto,90
"calle los salazares, Region de Murcia, Espana",Circunvalacion de Murcia,86
"calle almiral, Region de Murcia, Espana",Calle A,90
"calle san rafael, Region de Murcia, Espana",Calle San Rafael,90
"calle edif. ipanema, Region de Murcia, Espana",Calle E,90
"calle zumaque, Region de Murcia, Espana",Calle,90
"calle maria zayas, Region de Murcia, Espana",Calle Maria,90
"calle san anton, Region de Murcia, Espana",Calle San Anton,90
"calle colibri, Region de Murcia, Espana",Calle,90
"calle abejaruco, Region de Murcia, Espana",Calle A,90
"calle jose ventura, Region de Murcia, Espana",Calle J,90
"calle urbanizacion ipanema iii, Region de Murcia, Espana",Circunvalacion de Murcia,86
"calle collado jeronimos, Region de Murcia, Espana",Calle Collado,90
"calle com.el pedruchillo, Region de Murcia, Espana",Calle C,90
"calle venecia azul blq, Region de Murcia, Espana",Calle Venecia,90
"calle aldeas de taray club, Region de Murcia, Espana",Calle A,90
" carretera. fuente alamo, Region de Murcia, Espana",Circunvalacion de Murcia,86
"calle invernadero, Region de Murcia, Espana",Calle I,90
"calle san marcos, Region de Murcia, Espana",Calle San Marcos,90
"calle rio darro, Region de Murcia, Espana",Calle Rio,90
"calle edificio almadraba, Region de Murcia, Espana",Calle E,90
"calle umbria, Region de Murcia, Espana",Calle,90
"calle anacardo, Region de Murcia, Espana",Calle A,90
"calle asensio carrion ingles   bajo b, Region de Murcia, Espana",Circunvalacion de Murcia,86
"calle explorador oquendo, Region de Murcia, Espana",Calle E,90
"calle granizo, Region de Murcia, Espana",Calle,90
"calle san martin de porres nnd, Region de Murcia, Espana",Calle San Martin de Porres,90
"calle lgar los sanchez nnd, Region de Murcia, Espana",Circunvalacion de Murcia,86
"calle zona q, Region de Murcia, Espana",Calle,90
