Unnamed: 0,type_of_street,addresses,neighborhood,province,street_number,floor,street_name,floor_number,street_name2,prov,full,FORMATED_ADDRESS,TYPE_STREET,STREET_NAME,STREET_NUMBER,LOCALITY,PROVINCE,REGION,COUNTRY,POSTAL_CODE,NEIGHBOURHOOD,LAT,LONG,OBSERVATIONS
19,calle,"turquesa,  24   2 nd izq.",los barreros,murcia,24,2izq.,turquesa,2 nd,turquesa,Region de Murcia,"calle turquesa, 24, Region de Murcia, España","Calle Turquesa, 24, Cartagena, Región de Murcia, España",Calle,Turquesa,24,Cartagena,Murcia,Región de Murcia,Spain,30310,,37.6211529,-1.0012191,2izq.
20,,"caminoa los dolores,  33  c",molinos marfagones,murcia,33,c,caminoa los dolores,,caminoa los dolores,Region de Murcia," caminoa los dolores, 33, Region de Murcia, España","Camino a Los Dolores, 33, Cartagena, Región de Murcia, España",,Camino a Los Dolores,33,Cartagena,Murcia,Región de Murcia,Spain,30393,,37.6294645,-1.0349298,c
21,calle,"esmeralda,  43   1 nd c",urbanizacion mediterraneo,murcia,43,1c,esmeralda,1 nd,esmeralda,Region de Murcia,"calle esmeralda, 43, Region de Murcia, España","Calle Esmeralda, 43, Cartagena, Región de Murcia, España",Calle,Esmeralda,43,Cartagena,Murcia,Región de Murcia,Spain,30310,,37.6229591,-1.0006769,1c
22,calle,villamiel  15,canteras,murcia,15,,villamiel,,villamiel,Region de Murcia,"calle villamiel, 15, Region de Murcia, España","Calle Villamiel, 15, Canteras, Región de Murcia, España",Calle,Villamiel,15,Canteras,Murcia,Región de Murcia,Spain,30394,,37.6142494,-1.0437453,
23,calle,"munoz seca,  06  bajo",miranda,murcia,6,bajo,munoz seca,,munoz seca,Region de Murcia,"calle munoz seca, 6, Region de Murcia, España","Calle Muñoz Seca, 6, Aguilas, Región de Murcia, España",Calle,Muñoz Seca,6,Águilas,Murcia,Región de Murcia,Spain,30880,,37.3996882,-1.5984906,bajo
24,,"padilla,  10  bajo",san anton,murcia,10,bajo,padilla,,padilla,Region de Murcia," padilla, 10, Region de Murcia, España","Calle Padilla, 10, Cartagena, Región de Murcia, España",Calle,Padilla,10,Cartagena,Murcia,Región de Murcia,Spain,30205,,37.6199919,-0.9985641999999998,bajo
25,calle,"francisco de rioja,  10  (bdasantiago - miranda)",miranda,murcia,10,(bdasantiago - miranda),francisco de rioja,,francisco de rioja,Region de Murcia,"calle francisco de rioja, 10, Region de Murcia, España","Calle Francisco de Rioja, 10, Cartagena, Región de Murcia, España",Calle,Francisco de Rioja,10,Cartagena,Murcia,Región de Murcia,Spain,30319,,37.6782079,-1.0222847,(bdasantiago - miranda)
26,,"costa manga  1 , porton  2 ,  4 nd izq",la manga del mar menor,murcia,1,", porton  2 ,  4izq",costa manga,4 nd,costa manga,Region de Murcia," costa manga, 1, Region de Murcia, España","Costa Manga 1, Calle de la Manga, Cartagena, Región de Murcia, España",Calle,de la Manga,1,Cartagena,Murcia,Región de Murcia,Spain,30380,,37.6588324,-0.7217635,", porton  2 ,  4izq"
27,,urbanizacion bungalowarona  1145,mar de cristal,murcia,11,,urbanizacion bungalowarona,,urbanizacion bungalowarona,Region de Murcia," urbanizacion bungalowarona, 11, Region de Murcia, España","Calle Region de Murcia, 11, Jaén, España",Calle,Region de Murcia,11,Jaén,Jaén,Andalucía,Spain,23008,,37.7819449,-3.7917236,
28,calle,miraflores  15,mar de cristal,murcia,15,,miraflores,,miraflores,Region de Murcia,"calle miraflores, 15, Region de Murcia, España","Calle Miraflores, 15, Mar de Cristal, Región de Murcia, España",Calle,Miraflores,15,Mar de Cristal,Murcia,Región de Murcia,Spain,30384,,37.6397199,-0.76386,
29,,"edif. esmeralda  3 gran via, km  6   82 nda",la manga del mar menor,murcia,3,"gran via, km  6   82 nda",edif. esmeralda    gran via,82 nd,edif. esmeralda   gran via,Region de Murcia," edif. esmeralda   gran via, 3, Region de Murcia, España","Gran Vía de la Manga, 3, Cartagena, Región de Murcia, España",,Gran Vía de la Manga,3,Cartagena,Murcia,Región de Murcia,Spain,30380,,37.6644852,-0.7252052,"gran via, km  6   82 nda"
30,calle,la sombra 17,el beal,murcia,17,,la sombra,,la sombra,Region de Murcia,"calle la sombra, 17, Region de Murcia, España","Calle de la Sombra, 17, Beal, Región de Murcia, España",Calle,de la Sombra,17,Beal,Murcia,Región de Murcia,Spain,30382,,37.634938,-0.8405552,
31,calle,duplex calle mayor 65,vista alegre,murcia,65,,duplex calle mayor,,duplex calle mayor,Region de Murcia,"calle duplex calle mayor, 65, Region de Murcia, España","Calle Dúplex, Totana, Región de Murcia, España",Calle,Dúplex,65,,Murcia,Región de Murcia,Spain,30858,,37.7163948,-1.4111176,
32,,plaza del cerezo 15,la palma,murcia,15,,plaza del cerezo,,plaza del cerezo,Region de Murcia," plaza del cerezo, 15, Region de Murcia, España","Calle del Cerezo, 15, Abarán, Región de Murcia, España",Calle,del Cerezo,15,,Murcia,Región de Murcia,Spain,30559,,38.2363256,-1.3363346,
33,calle,"zurbanizacion ano,  11",la puebla,murcia,11,,zurbanizacion ano,,zurbanizacion ano,Region de Murcia,"calle zurbanizacion ano, 11, Region de Murcia, España","Calle, 11, Calar de la Santa, Región de Murcia, España",,Calle,11,Calar de la Santa,Murcia,Región de Murcia,Spain,30441,,38.1798514,-2.173411,
34,calle,"munoz delgado,  11  b",estrecho de san gines,murcia,11,b,munoz delgado,,munoz delgado,Region de Murcia,"calle munoz delgado, 11, Region de Murcia, España","Calle Muñoz Delgado, 11, San Pedro del Pinatar, Región de Murcia, España",Calle,Muñoz Delgado,11,San Pedro del Pinatar,Murcia,Región de Murcia,Spain,30740,,37.8153795,-0.7868305,b
35,calle,"limonero,  8  b",la palma,murcia,8,b,limonero,,limonero,Region de Murcia,"calle limonero, 8, Region de Murcia, España","Calle Limonero, 8, Alguazas, Región de Murcia, España",Calle,Limonero,8,Alguazas,Murcia,Región de Murcia,Spain,30560,,38.054454,-1.2417111,b
36,calle,botalon  15,la aparecida,murcia,15,,botalon,,botalon,Region de Murcia,"calle botalon, 15, Region de Murcia, España","Calle Botalón, 15, La Aparecida, Región de Murcia, España",Calle,Botalón,15,La Aparecida,Murcia,Región de Murcia,Spain,30395,,37.6691515,-0.9537319000000001,
37,avenida,constitucion  32,el albujon,murcia,32,,constitucion,,constitucion,Region de Murcia,"avenida constitucion, 32, Region de Murcia, España","Avenida Constitución, 32, Mazarrón, Región de Murcia, España",Avenida,Constitución,32,Mazarrón,Murcia,Región de Murcia,Spain,30870,,37.6006469,-1.3163497,
38,calle,sofocles 4,el albujon,murcia,4,,sofocles,,sofocles,Region de Murcia,"calle sofocles, 4, Region de Murcia, España","Calle Sófocles, 4, El Albujón, Región de Murcia, España",Calle,Sófocles,4,El Albujón,Murcia,Región de Murcia,Spain,30330,,37.719051,-1.0464406,
39,calle,san isidro 28,el albujon,murcia,28,,san isidro,,san isidro,Region de Murcia,"calle san isidro, 28, Region de Murcia, España","Calle San Isidro, 28, Yecla, Región de Murcia, España",Calle,San Isidro,28,Yecla,Murcia,Región de Murcia,Spain,30510,,38.6098284,-1.1124338,
40,,"urbanizacion la caracola , bajo  1 Âª",la manga del mar menor,murcia,1,Âª,urbanizacion la caracola,,urbanizacion la caracola,Region de Murcia," urbanizacion la caracola, 1, Region de Murcia, España","Urbanizacion La Caracola., Gran Vía de la Manga, La Manga, Región de Murcia, España",,Gran Vía de la Manga,"km 2,8",La Manga,Murcia,Región de Murcia,Spain,30380,Urbanizacion La Caracola.,37.65801829999999,-0.7227503,1 Âª
41,calle,de la iglesia numero  3,canteras (canteras),murcia,3,,de la iglesia numero,,de la iglesia numero,Region de Murcia,"calle de la iglesia numero, 3, Region de Murcia, España","Calle de la Iglesia, 3, San Javier, Spain",Calle,de la Iglesia,3,San Javier,Murcia,Región de Murcia,Spain,30720,,37.8116979,-0.7979949,
42,calle,"bloquetexas,  25251",corvera,almeria,25,,bloquetexas,,bloquetexas,almeria,"calle bloquetexas, 25, almeria, España","Calle Almeria, 25, Turre, España",Calle,Almeria,25,Turre,Almería,Andalucía,Spain,04639,,37.150446,-1.9007244,
43,calle,"altamirano,  9",miranda,murcia,9,,altamirano,,altamirano,Region de Murcia,"calle altamirano, 9, Region de Murcia, España","Calle Altamirano, 9, Cartagena, Región de Murcia, España",Calle,Altamirano,9,Cartagena,Murcia,Región de Murcia,Spain,30319,,37.6769091,-1.0235182,
44,calle,fermines  13,pozo estrecho,murcia,13,,fermines,,fermines,Region de Murcia,"calle fermines, 13, Region de Murcia, España","Calle los Fermines, 13, Pozo Estrecho, Región de Murcia, España",Calle,los Fermines,13,Pozo Estrecho,Murcia,Región de Murcia,Spain,30594,,37.71416230000001,-0.9955307,
45,calle,"avenida san jeronimo,  41",pozo estrecho,murcia,41,,avenida san jeronimo,,avenida san jeronimo,Region de Murcia,"calle avenida san jeronimo, 41, Region de Murcia, España","Avenida San Jerónimo, 41, Pozo Estrecho, Spain",Avenida,San Jerónimo,41,Pozo Estrecho,Murcia,Región de Murcia,Spain,30594,,37.7087928,-0.9919821999999998,
46,calle,sierra de gredos 53,nueva cartagena,murcia,53,,sierra de gredos,,sierra de gredos,Region de Murcia,"calle sierra de gredos, 53, Region de Murcia, España","Calle Sierra de Gredos, 53, Cartagena, Región de Murcia, España",Calle,Sierra de Gredos,53,Cartagena,Murcia,Región de Murcia,Spain,30310,,37.6221251,-1.0084749,
47,calle,"victor hugo,  18  bajo",el llano del beal,murcia,18,bajo,victor hugo,,victor hugo,Region de Murcia,"calle victor hugo, 18, Region de Murcia, España","Calle Víctor Hugo, 18, El Llano del Beal, Región de Murcia, España",Calle,Víctor Hugo,18,El Llano del Beal,Murcia,Región de Murcia,Spain,30381,,37.6238328,-0.8373627,bajo
48,calle,breton de los herreros  10,la puebla,murcia,10,,breton de los herreros,,breton de los herreros,Region de Murcia,"calle breton de los herreros, 10, Region de Murcia, España","Calle Bretón de los Herreros, 10, San Cayetano, Región de Murcia, España",Calle,Bretón de los Herreros,10,San Cayetano,Murcia,Región de Murcia,Spain,30592,,37.8157473,-0.8940663,
49,calle,lugar los tuertos  24,los salazares,murcia,24,,lugar los tuertos,,lugar los tuertos,Region de Murcia,"calle lugar los tuertos, 24, Region de Murcia, España","Lugar Los Pérez, 24, Molina de Segura, Región de Murcia, España",,Lugar Los Pérez,24,Molina de Segura,Murcia,Región de Murcia,Spain,30627,,38.1356308,-1.2530842,
50,calle,domingo espinosa  8,la palma,murcia,8,,domingo espinosa,,domingo espinosa,Region de Murcia,"calle domingo espinosa, 8, Region de Murcia, España","Calle Domingo Espinosa, 8, La Palma, Región de Murcia, España",Calle,Domingo Espinosa,8,La Palma,Murcia,Región de Murcia,Spain,30593,,37.68663,-0.964352,
51,calle,los reyes 5,la aparecida,murcia,5,,los reyes,,los reyes,Region de Murcia,"calle los reyes, 5, Region de Murcia, España","Calle los Reyes, 5, La Aparecida, Región de Murcia, España",Calle,los Reyes,5,La Aparecida,Murcia,Región de Murcia,Spain,30395,,37.6672018,-0.9551115,
52,,plaza puerto pincipe 9,molino de marfagones,murcia,9,,plaza puerto pincipe,,plaza puerto pincipe,Region de Murcia," plaza puerto pincipe, 9, Region de Murcia, España","Plaza Puerto Príncipe, 9, Cartagena, Región de Murcia, España",,Plaza Puerto Príncipe,9,Cartagena,Murcia,Región de Murcia,Spain,30393,,37.62860999999999,-1.04479,
53,calle,"san martin de porres,  32",vista alegre,murcia,32,,san martin de porres,,san martin de porres,Region de Murcia,"calle san martin de porres, 32, Region de Murcia, España","Calle San Martín de Porres, 32, San Javier, Región de Murcia, España",Calle,San Martín de Porres,32,San Javier,Murcia,Región de Murcia,Spain,30720,,37.8007716,-0.8045078,
54,calle,"camino de los cegarras,  1818",el albujon,murcia,18,,camino de los cegarras,,camino de los cegarras,Region de Murcia,"calle camino de los cegarras, 18, Region de Murcia, España","Camino a Los Cegarras, 18, El Albujón, Spain",,Camino a Los Cegarras,18,El Albujón,Murcia,Región de Murcia,Spain,30330,,37.7181915,-1.0513617,
55,calle,angel ferrant  32,la palma,murcia,32,,angel ferrant,,angel ferrant,Region de Murcia,"calle angel ferrant, 32, Region de Murcia, España","Calle Ángel Ferrant, 32, La Palma, Región de Murcia, España",Calle,Ángel Ferrant,32,La Palma,Murcia,Región de Murcia,Spain,30593,,37.68548190000001,-0.9624858,
56,calle,"briviesca,  5 bajo",canteras (canteras),murcia,5,bajo,briviesca,,briviesca,Region de Murcia,"calle briviesca, 5, Region de Murcia, España","Calle Briviesca, 5, Canteras, Región de Murcia, España",Calle,Briviesca,5,Canteras,Murcia,Región de Murcia,Spain,30394,,37.6113761,-1.0382622,bajo
57,calle,balmes nnd 8,estrecho de san gines,murcia,8,,balmes nnd,,balmes,Region de Murcia,"calle balmes, 8, Region de Murcia, España","Calle Balmes, 8, Alhama de Murcia, Región de Murcia, España",Calle,Balmes,8,Alhama de Murcia,Murcia,Región de Murcia,Spain,30840,,37.8499909,-1.4301717,
58,calle,"zorzal,  7",pozo estrecho,murcia,7,,zorzal,,zorzal,Region de Murcia,"calle zorzal, 7, Region de Murcia, España","Calle Zorzal, 7, Pozo Estrecho, Región de Murcia, España",Calle,Zorzal,7,Pozo Estrecho,Murcia,Región de Murcia,Spain,30594,,37.7089923,-0.9929532999999999,
59,,"aldeas de taray,  298298",la manga del mar menor,murcia,298,,aldeas de taray,,aldeas de taray,Region de Murcia," aldeas de taray, 298, Region de Murcia, España","Aldeas de Taray, Gran Vía de la Manga, La Manga, Región de Murcia, España",,Gran Vía de la Manga,km. 17,San Javier,Murcia,Región de Murcia,Spain,30380,Aldeas de Taray,37.7721493,-0.7457155,298 
60,calle,"gallo,  7",pozo estrecho,murcia,7,,gallo,,gallo,Region de Murcia,"calle gallo, 7, Region de Murcia, España","Calle Gallo, 7, Pozo Estrecho, Región de Murcia, España",Calle,Gallo,7,Pozo Estrecho,Murcia,Región de Murcia,Spain,30594,,37.7111024,-0.9939245,
61,,"playa hondario tajo,  29",la manga del mar menor,murcia,29,,playa hondario tajo,,playa hondario tajo,Region de Murcia," playa hondario tajo, 29, Region de Murcia, España","Calle Río Tajo, 29, Playa Honda, Región de Murcia, España",Calle,Río Tajo,29,Playa Honda,Murcia,Región de Murcia,Spain,30385,,37.63010999999999,-0.7369399999999999,
62,,urbanizacion borinquen  1 p 15,la manga del mar menor,murcia,1,p 15,urbanizacion borinquen    p,,urbanizacion borinquen,Region de Murcia," urbanizacion borinquen, 1, Region de Murcia, España","Calle Region de Murcia, 1, Jaén, España",Calle,Region de Murcia,1,Jaén,Jaén,Andalucía,Spain,23008,,37.7809418,-3.7923845,p 15
63,,borinquen  1  bloque mayaguez apto m 21,las (albujon) lomas,murcia,1,bloque mayaguez apto m 21,borinquen     bloque mayaguez apto m,,borinquen,Region de Murcia," borinquen, 1, Region de Murcia, España","Calle Region de Murcia, Jaén, España",Calle,Region de Murcia,1,Jaén,Jaén,Andalucía,Spain,,,37.7813887,-3.7919021,bloque mayaguez apto m 21
64,calle,vista alegrelevante  8 .,vista alegre,murcia,8,.,vista alegrelevante    .,,vista alegrelevante,Region de Murcia,"calle vista alegrelevante, 8, Region de Murcia, España","Calle Vista Alegre, Murcia, Región de Murcia, España",Calle,Vista Alegre,8,Murcia,Murcia,Región de Murcia,Spain,,,37.9941364,-1.1269118,.
65,calle,los salazares s/n,los salazares,murcia,,,los salazares s/n,,los salazares s/n,Region de Murcia,"calle los salazares s/n, , Region de Murcia, España",,,,,,,,,,,,,
66,,los sanchez de santa ana c\\esteva,casas de arriba (santa ana),murcia,,,los sanchez de santa ana c\\esteva,,los sanchez de santa ana c\\esteva,Region de Murcia," los sanchez de santa ana c\\esteva, , Region de Murcia, España",,,,,,,,,,,,,
67,avenida,javier 6,la aparecida,murcia,6,,javier,,javier,Region de Murcia,"avenida javier, 6, Region de Murcia, España","Avenida de San Javier, 6, La Aparecida, Región de Murcia, España",Avenida,de San Javier,6,La Aparecida,Murcia,Región de Murcia,Spain,30395,,37.6651042,-0.9551255999999999,
68,avenida,espanola 53,el albujon,murcia,53,,espanola,,espanola,Region de Murcia,"avenida espanola, 53, Region de Murcia, España","Avenida de la Española, 53, Cartagena, Región de Murcia, España",Avenida,de la Española,53,Cartagena,Murcia,Región de Murcia,Spain,30394,,37.617807,-1.0238891,
69,calle,fresa  5,la palma,murcia,5,,fresa,,fresa,Region de Murcia,"calle fresa, 5, Region de Murcia, España","Calle Fresa, 5, Cartagena, Región de Murcia, España",Calle,Fresa,5,Cartagena,Murcia,Región de Murcia,Spain,30593,,37.6819231,-0.9510818000000001,
70,calle,verdemar c 12,playa honda,murcia,12,,verdemar c,,verdemar c,Region de Murcia,"calle verdemar c, 12, Region de Murcia, España","Calle, 12, Calar de la Santa, Región de Murcia, España",,,12,Calar de la Santa,Murcia,Región de Murcia,Spain,30441,,38.1795417,-2.1717352,
71,calle,"cibeles,  101  bloque  2 , bajo d c.p. sol naciente",los narejos,murcia,101,"bloque 2 , bajo d c.p. sol naciente",cibeles,,cibeles,Region de Murcia,"calle cibeles, 101, Region de Murcia, España","Calle Cibeles, 101, Los Alcázares, Región de Murcia, España",Calle,Cibeles,101,Los Alcázares,Murcia,Región de Murcia,Spain,30710,,37.7676216,-0.8422185,"bloque 2 , bajo d c.p. sol naciente"
72,calle,ed. vaporettogran via 4 ndb,la manga del mar menor,murcia,4,ndb,ed. vaporettogran via   ndb,4 nd,ed. vaporettogran via,Region de Murcia,"calle ed. vaporettogran via, 4, Region de Murcia, España","Calle a Edificio Avileses, Avileses, Spain",Calle,a Edificio Avileses,4,Avileses,Murcia,Región de Murcia,Spain,30592,,37.8503918,-0.9412509,ndb
73,calle,esq. dos de mayojose maria grajera 1,la palma,murcia,1,,esq. dos de mayojose maria grajera,,esq. dos de mayojose maria grajera,Region de Murcia,"calle esq. dos de mayojose maria grajera, 1, Region de Murcia, España",,,,,,,,,,,,,
74,calle,riostras  1,la aparecida,murcia,1,,riostras,,riostras,Region de Murcia,"calle riostras, 1, Region de Murcia, España","Calle Riostras, 1, La Aparecida, Región de Murcia, España",Calle,Riostras,1,La Aparecida,Murcia,Región de Murcia,Spain,30395,,37.6664616,-0.9539730000000001,
75,,duplex aldeas de taray 283,la manga del mar menor,murcia,283,,duplex aldeas de taray,,duplex aldeas de taray,Region de Murcia," duplex aldeas de taray, 283, Region de Murcia, España","Aldeas de Taray, Gran Vía de la Manga, La Manga, Spain",,Gran Vía de la Manga,km. 17,San Javier,Murcia,Región de Murcia,Spain,30380,Aldeas de Taray,37.7721493,-0.7457155,283 
76,calle,"lo santiagovinos nuevos,  8787",gea y truyols,murcia,87,,lo santiagovinos nuevos,,lo santiagovinos nuevos,Region de Murcia,"calle lo santiagovinos nuevos, 87, Region de Murcia, España",,,,,,,,,,,,,
77,,"verdemar  3 , j- 16",playa honda,murcia,3,", j- 16",verdemar,,verdemar,Region de Murcia," verdemar, 3, Region de Murcia, España","Avenida Número 3, Lorquí, Región de Murcia, España",Avenida,Número 3,3,,Murcia,Región de Murcia,Spain,,,38.1042828,-1.2271184,", j- 16"
78,,"casco urbanizacion anoaldeas de taray,  92",la manga del mar menor,murcia,92,,casco urbanizacion anoaldeas de taray,,casco urbanizacion anoaldeas de taray,Region de Murcia," casco urbanizacion anoaldeas de taray, 92, Region de Murcia, España","Aldeas de Taray, Gran Vía de la Manga, La Manga, Región de Murcia, España",,Gran Vía de la Manga,km. 17,San Javier,Murcia,Región de Murcia,Spain,30380,Aldeas de Taray,37.7721493,-0.7457155,92 
79,,punta cormoran bloque 3  portal 1  plnta 7  p 33 portal  1   73,la manga del mar menor,murcia,3,portal 1  plnta 7  p 33 portal  1   73,punta cormoran bloque    portal    plnta    p   portal,,punta cormoran bloque,Region de Murcia," punta cormoran bloque, 3, Region de Murcia, España","Camino de la Punta, 3, Alhama de Murcia, Región de Murcia, España",,Camino de la Punta,3,Alhama de Murcia,Murcia,Región de Murcia,Spain,30840,,37.83832930000001,-1.428652,portal 1  plnta 7  p 33 portal  1   73
80,calle,reyes  29,la aparecida,murcia,29,,reyes,,reyes,Region de Murcia,"calle reyes, 29, Region de Murcia, España","Calle los Reyes, 29, Cartagena, Región de Murcia, España",Calle,los Reyes,29,Cartagena,Murcia,Región de Murcia,Spain,30395,,37.6676318,-0.9569947,
81,,perno 12,estrecho de san gines,murcia,12,,perno,,perno,Region de Murcia," perno, 12, Region de Murcia, España","Calle Perno, 12, Estrecho de San Gines, Región de Murcia, España",Calle,Perno,12,Estrecho de San Gines,Murcia,Región de Murcia,Spain,30381,,37.6286438,-0.8310837999999999,
82,,aldeas de taray apt  172,la manga del mar menor,murcia,172,,aldeas de taray apt,,aldeas de taray apt,Region de Murcia," aldeas de taray apt, 172, Region de Murcia, España","Aldeas de Taray, Gran Vía de la Manga, La Manga, Spain",,Gran Vía de la Manga,km. 17,San Javier,Murcia,Región de Murcia,Spain,30380,Aldeas de Taray,37.7721493,-0.7457155,172 
83,,puntaletes  8,la aparecida,murcia,8,,puntaletes,,puntaletes,Region de Murcia," puntaletes, 8, Region de Murcia, España","Calle Puntaletes, 8, La Aparecida, Región de Murcia, España",Calle,Puntaletes,8,La Aparecida,Murcia,Región de Murcia,Spain,30395,,37.6688351,-0.9538186000000001,
